ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
450302,223400,202979,171695,33,0,0,-1,110,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
450302,223400,221696,192180,38,0,0,-1,77,0,255,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
444598,223400,190533,156318,58,0,0,-1,114,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
444598,223400,230836,199980,33,0,0,-1,104,0,261,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
403243,223400,204347,174047,36,0,0,-1,117,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
403243,223400,170978,146843,30,0,0,-1,55,0,262,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
472174,223400,223152,203134,39,0,0,-1,105,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
472174,223400,223064,195538,32,0,0,-1,69,0,249,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
421125,223400,182532,153583,34,0,0,-1,91,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
421125,223400,216977,186315,29,0,0,-1,79,0,237,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
456810,223400,201208,180827,40,0,0,-1,109,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
456810,223400,228395,197124,21,0,0,-1,100,0,255,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
418416,223400,199508,168247,31,0,0,-1,125,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
418416,223400,192903,163302,32,0,0,-1,74,0,273,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
495992,223400,264681,232659,39,0,0,-1,122,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
495992,223400,196308,177129,44,0,0,-1,108,0,268,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
415082,223400,221895,187308,40,0,0,-1,266,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
415082,223400,169355,148214,29,0,0,-1,78,0,436,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
462655,223400,235277,209981,71,0,0,-1,137,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
462655,223400,198005,169683,27,0,0,-1,66,0,286,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
392128,223400,220171,202987,33,0,0,-1,125,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
392128,223400,147148,128913,46,0,0,-1,70,0,273,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
435750,223400,189519,158960,43,0,0,-1,113,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
435750,223400,222804,193402,23,0,0,-1,104,0,261,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
466289,223400,223698,195985,26,0,0,-1,72,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
466289,223400,213208,192849,33,0,0,-1,79,0,248,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
457825,223400,235932,205365,38,0,0,-1,203,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
457825,223400,194150,172859,33,0,0,-1,84,0,364,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
404454,223400,196690,166594,37,0,0,-1,108,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
404454,223400,177137,156791,31,0,0,-1,75,0,255,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
441959,223400,185671,164933,40,0,0,-1,104,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
441959,223400,222364,202778,37,0,0,-1,71,0,249,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
402494,223400,175110,153875,45,0,0,-1,101,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
402494,223400,200609,169800,35,0,0,-1,74,0,243,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
438071,223400,214145,184490,33,0,0,-1,106,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
438071,223400,198786,168432,29,0,0,-1,78,0,249,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
415575,223400,184058,154396,32,0,0,-1,137,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
415575,223400,205225,181863,50,0,0,-1,96,0,286,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
449480,223400,218543,185387,36,0,0,-1,128,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
449480,223400,207265,177433,37,0,0,-1,113,0,274,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
432743,223400,209745,174634,63,0,0,-1,115,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
432743,223400,191016,157017,33,0,0,-1,117,0,261,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
455882,223400,201515,171130,40,0,0,-1,111,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
455882,223400,228577,198894,37,0,0,-1,72,0,255,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
449501,223400,199718,169614,34,0,0,-1,123,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
449501,223400,226528,197429,31,0,0,-1,75,0,273,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
421312,223400,181375,152650,31,0,0,-1,78,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
421312,223400,214627,180642,26,0,0,-1,115,0,245,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
453902,223400,198386,176174,40,0,0,-1,133,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
453902,223400,230700,199375,29,0,0,-1,78,0,280,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
444319,223400,191180,158231,44,0,0,-1,170,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
444319,223400,230307,198170,44,0,0,-1,176,0,322,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
426455,223400,189454,170259,35,0,0,-1,135,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
426455,223400,208827,177280,37,0,0,-1,75,0,280,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
399078,223400,182632,152098,41,0,0,-1,141,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
399078,223400,191193,159837,23,0,0,-1,184,0,286,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
429642,223400,204579,174569,39,0,0,-1,107,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
429642,223400,200759,179977,37,0,0,-1,76,0,250,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
504440,223400,245318,213496,31,0,0,-1,112,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
504440,223400,238180,217350,43,0,0,-1,100,0,256,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
388452,223400,171177,152346,33,0,0,-1,104,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
388452,223400,188768,157140,37,0,0,-1,149,0,249,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
413778,223400,182840,149696,41,0,0,-1,112,0,267,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
