inv_time,inv_memory,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
26154002,90600,8,8,1,timeout,False,88,136,0,524,1,32,False,802259170,156136
25782788,90600,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
12722681,91116,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
13094492,91116,12,12,12,dropmon,False,176,248,0,964,2,72,False,25820762,156652
1924240,90600,8,8,16,timeout,True,88,136,0,524,1,32,True,6081625,156136
2102494,90600,8,8,16,timeout,True,88,136,0,524,2,32,True,6081625,156136
1475979,90276,4,4,8,ebpf,True,32,56,0,212,1,8,True,4788536,155812
1754771,90276,4,4,8,ebpf,True,32,56,0,212,2,8,True,4788536,155812
1886177,90600,8,8,16,ebpf,True,88,136,0,524,1,32,True,5767239,156136
2233071,90600,8,8,16,ebpf,True,88,136,0,524,2,32,True,5767239,156136
1948986,91124,12,12,16,dropmon,True,176,248,0,964,1,72,True,6004234,156660
2136066,91124,12,12,16,dropmon,True,176,248,0,964,2,72,True,6004234,156660
723239,90600,8,8,1,timeout,True,88,136,0,524,1,32,True,2381208,156136
845410,90600,8,8,1,timeout,True,88,136,0,524,2,32,True,2381208,156136
7374559,90276,4,4,1,ebpf,False,32,56,0,212,1,8,False,118075431,155812
7404859,90276,4,4,1,ebpf,False,32,56,0,212,2,8,False,118075431,155812
57685375,91120,12,12,1,timeout,False,176,248,0,964,1,72,False,2760617273,156656
57416405,91120,12,12,1,timeout,False,176,248,0,964,2,72,False,2760617273,156656
9425082,91120,12,12,16,dropmon,False,176,248,0,964,1,72,False,345918022,156656
9052918,91120,12,12,16,dropmon,False,176,248,0,964,2,72,False,345918022,156656
1169808,90280,4,4,4,timeout,True,32,56,0,212,1,8,True,3587873,155816
1260070,90280,4,4,4,timeout,True,32,56,0,212,2,8,True,3587873,155816
1162100,90600,8,8,4,timeout,True,88,136,0,524,1,32,True,3444337,156136
1139388,90600,8,8,4,timeout,True,88,136,0,524,2,32,True,3444337,156136
1571421,91124,12,12,8,ebpf,True,176,248,0,964,1,72,True,4473679,156660
1412917,91124,12,12,8,ebpf,True,176,248,0,964,2,72,True,4473679,156660
5894839,90600,8,8,8,dropmon,False,88,136,0,524,1,32,False,158409997,156136
