overall_lat,rewind_lat,rewind_injections,pkt_lat,drop_lat,timeout,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated
1698022,41,-1,194,0,281,4,4,dh,1,timeout,26,25,0,128,1,1,True
168965,8,-1,121,0,316,4,4,dh,1,timeout,26,25,0,128,1,1,True
192712,7,-1,133,0,310,4,4,dh,1,timeout,26,25,0,128,1,1,True
176161,8,-1,101,0,288,4,4,dh,1,timeout,26,25,0,128,1,1,True
1757882,32,-1,160,0,281,4,4,dh,1,timeout,26,25,0,128,4,1,True
176229,8,-1,137,0,279,4,4,dh,1,timeout,26,25,0,128,4,1,True
201045,7,-1,138,0,258,4,4,dh,1,timeout,26,25,0,128,4,1,True
176072,9,-1,113,0,242,4,4,dh,1,timeout,26,25,0,128,4,1,True
1779672,35,-1,190,0,281,4,4,dh,1,timeout,26,25,0,128,3,1,True
167670,8,-1,98,0,310,4,4,dh,1,timeout,26,25,0,128,3,1,True
184612,7,-1,123,0,320,4,4,dh,1,timeout,26,25,0,128,3,1,True
176356,8,-1,119,0,302,4,4,dh,1,timeout,26,25,0,128,3,1,True
1774372,35,-1,204,0,281,4,4,dh,1,timeout,26,25,0,128,2,1,True
192508,7,-1,124,0,328,4,4,dh,1,timeout,26,25,0,128,2,1,True
159442,7,-1,148,0,318,4,4,dh,1,timeout,26,25,0,128,2,1,True
159304,7,-1,120,0,288,4,4,dh,1,timeout,26,25,0,128,2,1,True
1595394,31,-1,196,0,301,4,4,sh,1,timeout,26,25,0,128,1,1,False
167988,8,-1,115,0,338,4,4,sh,1,timeout,26,25,0,128,1,1,False
177353,7,-1,117,0,327,4,4,sh,1,timeout,26,25,0,128,1,1,False
185477,9,-1,131,0,312,4,4,sh,1,timeout,26,25,0,128,1,1,False
150013,10,-1,134,0,286,4,4,sh,1,timeout,26,25,0,128,1,1,False
159446,8,-1,130,0,261,4,4,sh,1,timeout,26,25,0,128,1,1,False
2262336,2051262,4,113,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
184567,8,-1,139,0,218,4,4,sh,1,timeout,26,25,0,128,1,1,False
2285504,2108624,3,103,0,195,4,4,sh,1,timeout,26,25,0,128,1,1,False
159494,8,-1,106,0,209,4,4,sh,1,timeout,26,25,0,128,1,1,False
177440,7,-1,122,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
2002412,1842481,4,127,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
176128,7,-1,88,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
2286037,2099565,3,115,0,231,4,4,sh,1,timeout,26,25,0,128,1,1,False
159430,8,-1,129,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
176143,8,-1,140,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
2036271,1876107,4,116,0,187,4,4,sh,1,timeout,26,25,0,128,1,1,False
169309,7,-1,136,0,185,4,4,sh,1,timeout,26,25,0,128,1,1,False
1841308,1654872,2,127,0,196,4,4,sh,1,timeout,26,25,0,128,1,1,False
176196,8,-1,132,0,186,4,4,sh,1,timeout,26,25,0,128,1,1,False
392938,8,-1,156,0,182,4,4,sh,1,timeout,26,25,0,128,1,1,False
184620,7,-1,135,0,202,4,4,sh,1,timeout,26,25,0,128,1,1,False
2103603,1943508,4,158,0,189,4,4,sh,1,timeout,26,25,0,128,1,1,False
159568,7,-1,155,0,203,4,4,sh,1,timeout,26,25,0,128,1,1,False
2108864,1890568,3,150,0,198,4,4,sh,1,timeout,26,25,0,128,1,1,False
192794,7,-1,149,0,199,4,4,sh,1,timeout,26,25,0,128,1,1,False
176093,7,-1,145,0,195,4,4,sh,1,timeout,26,25,0,128,1,1,False
2679308,2494171,4,149,0,233,4,4,sh,1,timeout,26,25,0,128,1,1,False
167770,7,-1,125,0,230,4,4,sh,1,timeout,26,25,0,128,1,1,False
1918021,1749380,3,151,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
169103,8,-1,114,0,231,4,4,sh,1,timeout,26,25,0,128,1,1,False
184409,8,-1,154,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
2428255,2268112,4,103,0,236,4,4,sh,1,timeout,26,25,0,128,1,1,False
160654,8,-1,97,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
1832858,1621481,2,140,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
201160,30,-1,92,0,226,4,4,sh,1,timeout,26,25,0,128,1,1,False
226072,7,-1,120,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
168112,7,-1,127,0,213,4,4,sh,1,timeout,26,25,0,128,1,1,False
2537665,2367865,4,178,0,234,4,4,sh,1,timeout,26,25,0,128,1,1,False
184467,7,-1,148,0,262,4,4,sh,1,timeout,26,25,0,128,1,1,False
2059659,1891128,3,140,0,225,4,4,sh,1,timeout,26,25,0,128,1,1,False
184493,8,-1,141,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
177394,7,-1,155,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
2394695,2201259,4,101,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
176300,8,-1,93,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
1976054,1790818,3,156,0,264,4,4,sh,1,timeout,26,25,0,128,1,1,False
218933,17,-1,153,0,268,4,4,sh,1,timeout,26,25,0,128,1,1,False
176174,8,-1,157,0,261,4,4,sh,1,timeout,26,25,0,128,1,1,False
