inv_time,inv_memory,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
510549,5192,4,4,dh,1,timeout,26,25,0,128,1,1,True,515318,141848
729712,5120,2,2,dh,1,timeout,10,9,0,52,1,1,False,734864,141488
749677,5272,2,2,sh,1,timeout,10,9,0,52,1,1,False,754438,141352
309745216,5396,6,6,lc,1,timeout,50,49,0,236,1,1,False,309748569,582548
772683,5264,2,2,lc,1,timeout,10,9,0,52,1,1,False,777180,141344
600551,5192,4,4,mh,1,timeout,26,25,0,128,1,1,True,605059,141560
479100,5468,6,6,mh,1,timeout,50,49,0,236,1,1,True,482264,142124
10038951,5336,4,4,lc,1,timeout,26,25,0,128,1,1,False,10043593,153512
530712,5332,6,6,dh,1,timeout,50,49,0,236,1,1,True,535329,141988
9732012,5340,4,4,sh,1,timeout,26,25,0,128,1,1,False,9735889,153804
316351483,5328,6,6,sh,1,timeout,50,49,0,236,1,1,False,316356130,586224
676511,5124,2,2,mh,1,timeout,10,9,0,52,1,1,False,680334,141636
