inv_time,inv_memory,tenants,updates,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,model_only,optimization
305076,97444,8,4,1,timeout,43,50,8,148,1,8,False,True,True
36679,97444,8,4,1,timeout,43,50,8,148,2,16,True,True,True
51049,97332,4,2,8,dropmon,23,26,4,78,1,4,False,True,True
43591,97332,4,2,8,dropmon,23,26,4,78,2,8,True,True,True
74777,97328,4,0,4,ebpf,23,26,0,76,1,4,False,True,True
64703,97328,4,0,4,ebpf,23,26,0,76,2,8,True,True,True
256331,97332,4,2,1,ebpf,23,26,4,78,1,4,False,True,True
59902,97332,4,2,1,ebpf,23,26,4,78,2,8,True,True,True
49926,97444,8,4,8,timeout,43,50,8,148,1,8,False,True,True
40869,97444,8,4,8,timeout,43,50,8,148,2,16,True,True,True
1117911,98060,32,0,1,timeout,163,194,0,552,1,32,False,True,True
29185,98060,32,0,1,timeout,163,194,0,552,2,64,True,True,True
47070,97336,4,4,8,dropmon,23,26,8,80,1,4,False,True,True
43118,97336,4,4,8,dropmon,23,26,8,80,2,8,True,True,True
95569,97664,16,16,8,dropmon,83,98,32,296,1,16,False,True,True
37303,97664,16,16,8,dropmon,83,98,32,296,2,32,True,True,True
74442,97436,8,0,16,ebpf,43,50,0,144,1,8,False,True,True
115219,97436,8,0,16,ebpf,43,50,0,144,2,16,True,True,True
641892,99024,64,32,4,timeout,323,386,64,1128,1,64,False,True,True
31429,99024,64,32,4,timeout,323,386,64,1128,2,128,True,True,True
141099,97436,8,0,4,ebpf,43,50,0,144,1,8,False,True,True
65108,97436,8,0,4,ebpf,43,50,0,144,2,16,True,True,True
51035,97436,8,0,16,dropmon,43,50,0,144,1,8,False,True,True
87408,97436,8,0,16,dropmon,43,50,0,144,2,16,True,True,True
50401,97436,8,0,8,timeout,43,50,0,144,1,8,False,True,True
42013,97436,8,0,8,timeout,43,50,0,144,2,16,True,True,True
181122,97664,16,16,4,timeout,83,98,32,296,1,16,False,True,True
38720,97664,16,16,4,timeout,83,98,32,296,2,32,True,True,True
170789,98060,32,32,16,dropmon,163,194,64,584,1,32,False,True,True
78229,98060,32,32,16,dropmon,163,194,64,584,2,64,True,True,True
2940400,99036,64,64,1,timeout,323,386,128,1160,1,64,False,True,True
28996,99036,64,64,1,timeout,323,386,128,1160,2,128,True,True,True
70811,97332,4,2,4,ebpf,23,26,4,78,1,4,False,True,True
67709,97332,4,2,4,ebpf,23,26,4,78,2,8,True,True,True
274125,98060,32,16,8,ebpf,163,194,32,568,1,32,False,True,True
61179,98060,32,16,8,ebpf,163,194,32,568,2,64,True,True,True
73291,97336,4,4,8,ebpf,23,26,8,80,1,4,False,True,True
71385,97336,4,4,8,ebpf,23,26,8,80,2,8,True,True,True
311095,99036,64,64,16,timeout,323,386,128,1160,1,64,False,True,True
75844,99036,64,64,16,timeout,323,386,128,1160,2,128,True,True,True
90201,97656,16,0,8,dropmon,83,98,0,280,1,16,False,True,True
40061,97656,16,0,8,dropmon,83,98,0,280,2,32,True,True,True
145166,97452,8,8,4,ebpf,43,50,16,152,1,8,False,True,True
60722,97452,8,8,4,ebpf,43,50,16,152,2,16,True,True,True
127630,97664,16,16,16,ebpf,83,98,32,296,1,16,False,True,True
102028,97664,16,16,16,ebpf,83,98,32,296,2,32,True,True,True
142332,97656,16,0,8,ebpf,83,98,0,280,1,16,False,True,True
63144,97656,16,0,8,ebpf,83,98,0,280,2,32,True,True,True
344212,98060,32,16,4,timeout,163,194,32,568,1,32,False,True,True
38208,98060,32,16,4,timeout,163,194,32,568,2,64,True,True,True
145779,97664,16,8,8,ebpf,83,98,16,288,1,16,False,True,True
65558,97664,16,8,8,ebpf,83,98,16,288,2,32,True,True,True
287843,98892,64,0,16,dropmon,323,386,0,1096,1,64,False,True,True
77234,98892,64,0,16,dropmon,323,386,0,1096,2,128,True,True,True
2908388,99024,64,32,1,dropmon,323,386,64,1128,1,64,False,True,True
39641,99024,64,32,1,dropmon,323,386,64,1128,2,128,True,True,True
78029,97452,8,8,8,ebpf,43,50,16,152,1,8,False,True,True
66659,97452,8,8,8,ebpf,43,50,16,152,2,16,True,True,True
73783,97444,8,4,8,ebpf,43,50,8,148,1,8,False,True,True
69307,97444,8,4,8,ebpf,43,50,8,148,2,16,True,True,True
1044849,97664,16,8,1,ebpf,83,98,16,288,1,16,False,True,True
64560,97664,16,8,1,ebpf,83,98,16,288,2,32,True,True,True
92650,97664,16,8,8,timeout,83,98,16,288,1,16,False,True,True
39083,97664,16,8,8,timeout,83,98,16,288,2,32,True,True,True
262010,97656,16,0,4,ebpf,83,98,0,280,1,16,False,True,True
62015,97656,16,0,4,ebpf,83,98,0,280,2,32,True,True,True
1960548,98060,32,32,1,ebpf,163,194,64,584,1,32,False,True,True
56569,98060,32,32,1,ebpf,163,194,64,584,2,64,True,True,True
99923,97664,16,8,16,dropmon,83,98,16,288,1,16,False,True,True
81241,97664,16,8,16,dropmon,83,98,16,288,2,32,True,True,True
176177,98060,32,16,8,timeout,163,194,32,568,1,32,False,True,True
35614,98060,32,16,8,timeout,163,194,32,568,2,64,True,True,True
342708,97452,8,8,1,dropmon,43,50,16,152,1,8,False,True,True
39258,97452,8,8,1,dropmon,43,50,16,152,2,16,True,True,True
92235,97664,16,8,8,dropmon,83,98,16,288,1,16,False,True,True
39744,97664,16,8,8,dropmon,83,98,16,288,2,32,True,True,True
3839776,98892,64,0,1,ebpf,323,386,0,1096,1,64,False,True,True
58118,98892,64,0,1,ebpf,323,386,0,1096,2,128,True,True,True
1060304,97664,16,16,1,ebpf,83,98,32,296,1,16,False,True,True
61002,97664,16,16,1,ebpf,83,98,32,296,2,32,True,True,True
75355,97332,4,2,8,ebpf,23,26,4,78,1,4,False,True,True
70785,97332,4,2,8,ebpf,23,26,4,78,2,8,True,True,True
161322,98060,32,0,16,timeout,163,194,0,552,1,32,False,True,True
78478,98060,32,0,16,timeout,163,194,0,552,2,64,True,True,True
52356,97336,4,4,8,timeout,23,26,8,80,1,4,False,True,True
44496,97336,4,4,8,timeout,23,26,8,80,2,8,True,True,True
47434,97332,4,2,16,timeout,23,26,4,78,1,4,False,True,True
