ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
237264,142448,185491,148615,182,0,0,-1,188,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,16,1,False,7103774,144608
508115,142304,224775,180331,139,0,0,-1,216,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,5,1,True,7103774,144608
508115,142304,225855,176053,140,0,0,-1,179,0,396,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,5,1,True,7103774,144608
260516,142448,199464,161385,132,0,0,-1,168,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,1,1,False,7103774,144608
271345,142448,219450,171576,112,0,0,-1,220,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,12,1,False,7103774,144608
466497,142304,203029,166047,141,0,0,-1,157,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,15,1,True,7103774,144608
466497,142304,207876,174914,111,0,0,-1,107,0,350,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,15,1,True,7103774,144608
266530,142448,211599,168203,175,0,0,-1,253,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,7,1,False,7103774,144608
248325,142448,196757,155295,90,0,0,-1,122,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,6,1,False,7103774,144608
471967,142592,215687,178728,144,0,0,-1,196,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,10,1,True,7103774,144608
471967,142592,203586,172903,206,0,0,-1,158,0,377,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,10,1,True,7103774,144608
510088,142304,216593,179102,231,0,0,-1,219,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,14,1,True,7103774,144608
510088,142304,242148,199504,195,0,0,-1,184,0,397,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,14,1,True,7103774,144608
479748,142304,199334,162652,122,0,0,-1,219,0,382,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,3,1,True,7103774,144608
479748,142304,223177,181224,170,0,0,-1,155,0,397,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,3,1,True,7103774,144608
742468,251780,235257,232890,169,0,0,-1,170,0,303,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,5,1,False,9879427,254084
742468,251780,209228,207285,128,0,0,-1,137,0,290,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,5,1,False,9879427,254084
742468,251780,243971,241999,164,0,0,-1,143,0,286,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,5,1,False,9879427,254084
420103,251924,170376,169150,65,0,0,-1,80,0,303,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,14,1,True,9879427,254084
420103,251924,185870,183756,174,0,0,-1,137,0,333,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,14,1,True,9879427,254084
707313,251780,227911,225564,226,0,0,-1,189,0,303,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,3,1,True,9879427,254084
707313,251780,205309,203147,135,0,0,-1,112,0,309,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,3,1,True,9879427,254084
707313,251780,216494,214085,214,0,0,-1,179,0,319,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,3,1,True,9879427,254084
535431,252792,253120,250919,135,0,0,-1,186,0,329,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,16,1,True,11013855,254952
535431,252792,225352,177887,133,0,0,-1,171,0,380,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,16,1,True,11013855,254952
488658,252792,214893,185245,137,0,0,-1,145,0,329,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,5,1,True,11013855,254952
488658,252792,207770,205063,233,0,0,-1,149,0,337,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,5,1,True,11013855,254952
694412,252792,215804,213646,205,0,0,-1,169,0,329,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,12,1,True,11013855,254952
694412,252792,196498,194369,166,0,0,-1,133,0,362,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,12,1,True,11013855,254952
694412,252792,224677,174359,146,0,0,-1,121,0,335,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,12,1,True,11013855,254952
481436,252792,216560,214106,222,0,0,-1,203,0,329,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,15,1,False,11013855,254952
481436,252792,211796,209691,146,0,0,-1,109,0,398,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,15,1,False,11013855,254952
485244,252792,207449,205249,212,0,0,-1,144,0,329,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,10,1,True,11013855,254952
485244,252792,220964,218821,189,0,0,-1,129,0,332,rocketfuel-bb-AS-1239,4,20,16,1,timeout,315,972,0,137052,10,1,True,11013855,254952
257613,252088,202056,199579,179,0,0,-1,167,0,359,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,12,1,False,8915032,253960
529375,252088,230462,228933,85,0,0,-1,75,0,359,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,6,1,True,8915032,253960
529375,252088,221064,218881,163,0,0,-1,149,0,358,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,6,1,True,8915032,253960
452257,252088,187297,150919,155,0,0,-1,204,0,359,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,14,1,True,8915032,253960
452257,252088,206784,163911,97,0,0,-1,226,0,398,rocketfuel-bb-AS-1239,20,20,16,1,timeout,315,972,0,137052,14,1,True,8915032,253960
474898,158368,238156,235911,197,0,0,-1,155,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,5,1,True,7800752,160528
474898,158368,189015,187564,159,0,0,-1,64,0,277,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,5,1,True,7800752,160528
425040,158368,204840,166061,195,0,0,-1,234,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,1,1,False,7800752,160528
425040,158368,171129,169286,229,0,0,-1,143,0,352,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,1,1,False,7800752,160528
248827,158368,187351,142450,128,0,0,-1,264,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,9,1,False,7800752,160528
243988,158368,193492,191837,104,0,0,-1,174,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,8,1,True,7800752,160528
250173,158368,192779,150575,136,0,0,-1,234,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,12,1,True,7800752,160528
278190,158368,223573,221267,133,0,0,-1,151,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,11,1,False,7800752,160528
205776,158368,148245,122332,134,0,0,-1,135,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,6,1,True,7800752,160528
670843,158368,208925,162050,133,0,0,-1,177,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,10,1,True,7800752,160528
670843,158368,174802,150570,121,0,0,-1,64,0,285,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,10,1,True,7800752,160528
670843,158368,228340,226296,204,0,0,-1,97,0,340,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,10,1,True,7800752,160528
206899,158368,155649,153963,117,0,0,-1,143,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,2,1,False,7800752,160528
423002,158368,159917,158344,108,0,0,-1,126,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,14,1,False,7800752,160528
423002,158368,206226,171261,146,0,0,-1,177,0,296,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,14,1,False,7800752,160528
293637,158368,236479,195063,169,0,0,-1,194,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,13,1,True,7800752,160528
217095,158368,164133,162314,169,0,0,-1,122,0,293,rocketfuel-bb-AS-6461,20,20,16,1,timeout,141,374,0,52734,3,1,False,7800752,160528
254240,157192,204162,166454,92,0,0,-1,246,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,16,1,True,6747700,159496
434360,157192,186531,147282,114,0,0,-1,234,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,8,1,True,6747700,159496
434360,157192,190831,189298,88,0,0,-1,60,0,421,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,8,1,True,6747700,159496
466779,157048,221492,174961,104,0,0,-1,201,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,12,1,False,6747700,159496
466779,157048,184766,182763,124,0,0,-1,99,0,384,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,12,1,False,6747700,159496
394481,157192,164507,134744,228,0,0,-1,76,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,10,1,True,6747700,159496
394481,157192,176118,174377,112,0,0,-1,72,0,365,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,10,1,True,6747700,159496
200095,157192,152620,151043,100,0,0,-1,83,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,2,1,True,6747700,159496
413395,157048,176891,175499,82,0,0,-1,76,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,14,1,True,6747700,159496
413395,157048,177410,175724,182,0,0,-1,87,0,365,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,14,1,True,6747700,159496
274540,157048,215206,177187,183,0,0,-1,85,0,358,rocketfuel-bb-AS-6461,4,20,16,1,timeout,141,374,0,52734,13,1,True,6747700,159496
415608,144960,156989,154420,195,0,0,-1,176,0,310,as-733,20,20,16,1,timeout,103,239,0,33699,16,1,False,11566049,147264
415608,144960,211610,209399,200,0,0,-1,155,0,317,as-733,20,20,16,1,timeout,103,239,0,33699,16,1,False,11566049,147264
297720,144960,238688,199255,129,0,0,-1,178,0,310,as-733,20,20,16,1,timeout,103,239,0,33699,5,1,False,11566049,147264
438793,144960,188100,148503,95,0,0,-1,298,0,310,as-733,20,20,16,1,timeout,103,239,0,33699,4,1,False,11566049,147264
438793,144960,197058,160682,159,0,0,-1,149,0,461,as-733,20,20,16,1,timeout,103,239,0,33699,4,1,False,11566049,147264
388222,144960,153667,152478,74,0,0,-1,67,0,310,as-733,20,20,16,1,timeout,103,239,0,33699,1,1,False,11566049,147264
388222,144960,185554,183685,112,0,0,-1,94,0,331,as-733,20,20,16,1,timeout,103,239,0,33699,1,1,False,11566049,147264
