inv_time,inv_memory,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
340720,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,16,1,False,5265311,144016
301504,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,5,1,False,5265311,144016
314023,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,4,1,True,5265311,144016
334833,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,1,1,False,5265311,144016
326976,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,9,1,True,5265311,144016
309415,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,8,1,False,5265311,144016
352078,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,12,1,False,5265311,144016
280786,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,15,1,True,5265311,144016
342858,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,7,1,True,5265311,144016
358785,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,11,1,False,5265311,144016
382549,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,6,1,True,5265311,144016
279657,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,10,1,False,5265311,144016
325305,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,2,1,True,5265311,144016
324389,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,14,1,False,5265311,144016
285131,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,13,1,False,5265311,144016
314340,9664,rocketfuel-bb-AS-3967,8,20,16,1,timeout,79,147,0,20727,3,1,False,5265311,144016
1044542,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,16,1,False,10273126,257392
675223,123184,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,5,1,True,10273126,257392
795294,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,4,1,False,10273126,257392
292227,123184,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,1,1,False,10273126,257392
829289,123184,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,9,1,True,10273126,257392
281171,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,8,1,False,10273126,257392
1107687,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,12,1,False,10273126,257392
963870,123184,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,15,1,True,10273126,257392
669047,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,7,1,False,10273126,257392
310022,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,11,1,False,10273126,257392
291204,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,6,1,False,10273126,257392
1076163,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,10,1,False,10273126,257392
291969,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,2,1,False,10273126,257392
345099,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,14,1,False,10273126,257392
509546,123184,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,13,1,True,10273126,257392
289041,123040,rocketfuel-bb-AS-1239,16,20,16,1,timeout,315,972,0,137052,3,1,False,10273126,257392
