inv_time,inv_memory,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
51634,7168,network-core4,1,timeout,67,146,0,2038,36,1000,True,13446064,142096
53393,7168,network-core4,1,timeout,67,146,0,2038,68,1000,True,13446064,142096
52782,7168,network-core4,1,timeout,67,146,0,2038,16,1000,True,13446064,142096
49460,7168,network-core4,1,timeout,67,146,0,2038,22,1000,True,13446064,142096
55165,7168,network-core4,1,timeout,67,146,0,2038,5,1000,True,13446064,142096
55787,7168,network-core4,1,timeout,67,146,0,2038,45,1000,True,13446064,142096
1863206,7168,network-core4,1,timeout,67,146,0,2038,27,1000,True,13446064,142096
52340,7168,network-core4,1,timeout,67,146,0,2038,63,1000,True,13446064,142096
931892,7168,network-core4,1,timeout,67,146,0,2038,28,1000,True,13446064,142096
52346,7168,network-core4,1,timeout,67,146,0,2038,19,1000,True,13446064,142096
52297,7168,network-core4,1,timeout,67,146,0,2038,54,1000,True,13446064,142096
52602,7168,network-core4,1,timeout,67,146,0,2038,55,1000,True,13446064,142096
53485,7168,network-core4,1,timeout,67,146,0,2038,56,1000,True,13446064,142096
1573127,7168,network-core4,1,timeout,67,146,0,2038,26,1000,True,13446064,142096
64919,7168,network-core4,1,timeout,67,146,0,2038,4,1000,True,13446064,142096
50990,7168,network-core4,1,timeout,67,146,0,2038,20,1000,True,13446064,142096
54370,7168,network-core4,1,timeout,67,146,0,2038,62,1000,True,13446064,142096
52543,7168,network-core4,1,timeout,67,146,0,2038,66,1000,True,13446064,142096
52422,7168,network-core4,1,timeout,67,146,0,2038,51,1000,True,13446064,142096
52795,7168,network-core4,1,timeout,67,146,0,2038,1,1000,True,13446064,142096
51773,7168,network-core4,1,timeout,67,146,0,2038,17,1000,True,13446064,142096
53514,7168,network-core4,1,timeout,67,146,0,2038,47,1000,True,13446064,142096
59397,7168,network-core4,1,timeout,67,146,0,2038,60,1000,True,13446064,142096
51774,7168,network-core4,1,timeout,67,146,0,2038,72,1000,True,13446064,142096
53328,7168,network-core4,1,timeout,67,146,0,2038,24,1000,True,13446064,142096
52868,7168,network-core4,1,timeout,67,146,0,2038,48,1000,True,13446064,142096
54132,7168,network-core4,1,timeout,67,146,0,2038,52,1000,True,13446064,142096
52501,7168,network-core4,1,timeout,67,146,0,2038,39,1000,True,13446064,142096
51255,7168,network-core4,1,timeout,67,146,0,2038,9,1000,True,13446064,142096
50189,7168,network-core4,1,timeout,67,146,0,2038,8,1000,True,13446064,142096
51452,7168,network-core4,1,timeout,67,146,0,2038,12,1000,True,13446064,142096
52071,7168,network-core4,1,timeout,67,146,0,2038,49,1000,True,13446064,142096
617898,7168,network-core4,1,timeout,67,146,0,2038,29,1000,True,13446064,142096
1332552,7168,network-core4,1,timeout,67,146,0,2038,32,1000,True,13446064,142096
51688,7168,network-core4,1,timeout,67,146,0,2038,15,1000,True,13446064,142096
53547,7168,network-core4,1,timeout,67,146,0,2038,37,1000,True,13446064,142096
54433,7168,network-core4,1,timeout,67,146,0,2038,40,1000,True,13446064,142096
1507045,7168,network-core4,1,timeout,67,146,0,2038,30,1000,True,13446064,142096
50557,7168,network-core4,1,timeout,67,146,0,2038,7,1000,True,13446064,142096
51829,7168,network-core4,1,timeout,67,146,0,2038,11,1000,True,13446064,142096
52776,7168,network-core4,1,timeout,67,146,0,2038,38,1000,True,13446064,142096
51493,7168,network-core4,1,timeout,67,146,0,2038,6,1000,True,13446064,142096
74355,7168,network-core4,1,timeout,67,146,0,2038,46,1000,True,13446064,142096
54012,7168,network-core4,1,timeout,67,146,0,2038,34,1000,True,13446064,142096
54489,7168,network-core4,1,timeout,67,146,0,2038,43,1000,True,13446064,142096
53194,7168,network-core4,1,timeout,67,146,0,2038,10,1000,True,13446064,142096
53091,7168,network-core4,1,timeout,67,146,0,2038,61,1000,True,13446064,142096
1194032,7168,network-core4,1,timeout,67,146,0,2038,25,1000,True,13446064,142096
52932,7168,network-core4,1,timeout,67,146,0,2038,42,1000,True,13446064,142096
57052,7168,network-core4,1,timeout,67,146,0,2038,57,1000,True,13446064,142096
54908,7168,network-core4,1,timeout,67,146,0,2038,67,1000,True,13446064,142096
55028,7168,network-core4,1,timeout,67,146,0,2038,33,1000,True,13446064,142096
51520,7168,network-core4,1,timeout,67,146,0,2038,41,1000,True,13446064,142096
51012,7168,network-core4,1,timeout,67,146,0,2038,21,1000,True,13446064,142096
54138,7168,network-core4,1,timeout,67,146,0,2038,50,1000,True,13446064,142096
55896,7168,network-core4,1,timeout,67,146,0,2038,2,1000,True,13446064,142096
51847,7168,network-core4,1,timeout,67,146,0,2038,71,1000,True,13446064,142096
55623,7168,network-core4,1,timeout,67,146,0,2038,59,1000,True,13446064,142096
59376,7168,network-core4,1,timeout,67,146,0,2038,65,1000,True,13446064,142096
53763,7168,network-core4,1,timeout,67,146,0,2038,70,1000,True,13446064,142096
637333,7168,network-core4,1,timeout,67,146,0,2038,31,1000,True,13446064,142096
52197,7168,network-core4,1,timeout,67,146,0,2038,14,1000,True,13446064,142096
51470,7168,network-core4,1,timeout,67,146,0,2038,44,1000,True,13446064,142096
50454,7168,network-core4,1,timeout,67,146,0,2038,13,1000,True,13446064,142096
53517,7168,network-core4,1,timeout,67,146,0,2038,64,1000,True,13446064,142096
51375,7168,network-core4,1,timeout,67,146,0,2038,69,1000,True,13446064,142096
51970,7168,network-core4,1,timeout,67,146,0,2038,35,1000,True,13446064,142096
50264,7168,network-core4,1,timeout,67,146,0,2038,23,1000,True,13446064,142096
52711,7168,network-core4,1,timeout,67,146,0,2038,3,1000,True,13446064,142096
54676,7168,network-core4,1,timeout,67,146,0,2038,58,1000,True,13446064,142096
54259,7168,network-core4,1,timeout,67,146,0,2038,18,1000,True,13446064,142096
52883,7168,network-core4,1,timeout,67,146,0,2038,53,1000,True,13446064,142096
74708,14844,network-all,1,timeout,236,524,0,7349,946,3606,True,112994761,149340
59559,14844,network-all,1,timeout,236,524,0,7349,871,3606,True,112994761,149340
60262,14844,network-all,1,timeout,236,524,0,7349,540,3606,True,112994761,149340
58954,14844,network-all,1,timeout,236,524,0,7349,221,3606,True,112994761,149340
59503,14844,network-all,1,timeout,236,524,0,7349,794,3606,True,112994761,149340
