ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
803661,154072,280598,201744,31,0,0,-1,86,0,172,12,50,1,ebpf,2337,3452,430,7549,1,431,True,1022149,156184
803661,154072,96962,1,4,0,0,-1,101,0,157,12,50,1,ebpf,2337,3452,430,7549,1,431,True,1022149,156184
803661,154072,389235,0,321645,321639,0,0,0,55,159,12,50,1,ebpf,2337,3452,430,7549,1,431,True,1022149,156184
285318,138284,229539,203665,16,0,0,-1,73,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
285318,138284,18966,0,4,0,0,-1,100,0,183,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
224518,138184,171083,153588,25,0,0,-1,61,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
224518,138184,26249,0,2,0,0,-1,74,0,186,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
209022,138184,145654,118865,16,0,0,-1,71,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
209022,138184,31890,1,6,0,0,-1,97,0,183,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
195495,138184,133248,119135,17,0,0,-1,62,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
195495,138184,31418,1,8,0,0,-1,88,0,186,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
268444,138176,229837,211593,19,0,0,-1,60,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
268444,138176,14155,0,2,0,0,-1,56,0,185,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
299072,138184,232019,213101,25,0,0,-1,74,0,190,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
299072,138184,29831,0,2,0,0,-1,76,0,178,4,0,4,timeout,97,124,0,262,1,15,False,2020471,140524
