inv_time,inv_memory,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
1004309,107340,12,50,1,ebpf,2337,3452,430,7549,1,431,True,8160649,172876
7135465,107340,12,50,1,ebpf,2337,3452,430,7549,2,862,True,8160649,172876
2345252,90624,4,0,4,timeout,97,124,0,262,1,15,False,6748962,156160
4398076,90624,4,0,4,timeout,97,124,0,262,2,30,False,6748962,156160
1524646,107296,12,50,8,timeout,2337,3452,430,7549,1,431,True,3284585,172832
1730227,107296,12,50,8,timeout,2337,3452,430,7549,2,862,True,3284585,172832
995602,100316,10,100,1,dropmon,1372,1996,498,4489,1,249,True,1535660,165852
523765,100316,10,100,1,dropmon,1372,1996,498,4489,2,498,True,1535660,165852
1204622,92200,6,50,4,dropmon,312,428,52,934,1,53,True,2578328,157736
1366032,92200,6,50,4,dropmon,312,428,52,934,2,106,True,2578328,157736
20022315,95008,8,0,4,dropmon,717,1020,0,2166,1,127,False,58936236,160544
38902857,95008,8,0,4,dropmon,717,1020,0,2166,2,254,False,58936236,160544
1706958,90672,4,50,8,ebpf,97,124,14,269,1,15,True,2536163,156208
824275,90672,4,50,8,ebpf,97,124,14,269,2,30,True,2536163,156208
710736,100280,10,100,1,timeout,1372,1996,498,4489,1,249,True,1159175,165816
429675,100280,10,100,1,timeout,1372,1996,498,4489,2,498,True,1159175,165816
1567612,90660,4,0,12,ebpf,97,124,0,262,1,15,False,4026763,156196
2454371,90660,4,0,12,ebpf,97,124,0,262,2,30,False,4026763,156196
5248081,92040,6,0,8,timeout,312,428,0,908,1,53,False,15518431,157576
10263276,92040,6,0,8,timeout,312,428,0,908,2,106,False,15518431,157576
1977893,95080,8,50,16,timeout,717,1020,126,2229,1,127,True,3111453,160616
1121736,95080,8,50,16,timeout,717,1020,126,2229,2,254,True,3111453,160616
12868946,95008,8,0,8,dropmon,717,1020,0,2166,1,127,False,37281764,160544
24403509,95008,8,0,8,dropmon,717,1020,0,2166,2,254,False,37281764,160544
9214886,95008,8,0,16,ebpf,717,1020,0,2166,1,127,False,26985935,160544
17764763,95008,8,0,16,ebpf,717,1020,0,2166,2,254,False,26985935,160544
1692298,92164,6,50,16,timeout,312,428,52,934,1,53,True,2795070,157700
1096667,92164,6,50,16,timeout,312,428,52,934,2,106,True,2795070,157700
37065808,106880,12,0,12,ebpf,2337,3452,0,7334,1,431,False,109561337,172416
72464998,106880,12,0,12,ebpf,2337,3452,0,7334,2,862,False,109561337,172416
1854475,99944,10,50,16,timeout,1372,1996,248,4364,1,249,True,2964318,165480
1097789,99944,10,50,16,timeout,1372,1996,248,4364,2,498,True,2964318,165480
1341692,95116,8,50,4,ebpf,717,1020,126,2229,1,127,True,3280979,160652
1931754,95116,8,50,4,ebpf,717,1020,126,2229,2,254,True,3280979,160652
1180327,90672,4,50,4,ebpf,97,124,14,269,1,15,True,1862340,156208
677494,90672,4,50,4,ebpf,97,124,14,269,2,30,True,1862340,156208
1644141,90672,4,50,12,dropmon,97,124,14,269,1,15,False,2287401,156208
638662,90672,4,50,12,dropmon,97,124,14,269,2,30,True,2287401,156208
755535,92164,6,50,1,timeout,312,428,52,934,1,53,True,2341273,157700
1580045,92164,6,50,1,timeout,312,428,52,934,2,106,True,2341273,157700
1782941,100312,10,100,8,ebpf,1372,1996,498,4489,1,249,True,2694843,165848
901495,100312,10,100,8,ebpf,1372,1996,498,4489,2,498,True,2694843,165848
770365,95268,8,100,1,timeout,717,1020,254,2293,1,127,True,1243384,160804
461181,95268,8,100,1,timeout,717,1020,254,2293,2,254,True,1243384,160804
