run_id,packets_received,packets_total,container_memory,total_time,total_mem
1,6,10,24060,10010000,26784
2,6,10,24060,7490000,26640
3,6,10,24060,7540000,26640
4,6,10,24060,7480000,26784
5,6,10,24060,7530000,26784
6,6,10,24060,7510000,26928
7,6,10,24060,7630000,26640
8,6,10,24060,7630000,26640
9,6,10,24060,7220000,27072
10,6,10,24060,7390000,26928
11,6,10,24060,7640000,26640
12,6,10,24060,7410000,26640
13,6,10,24060,7480000,26928
14,6,10,24060,7400000,26784
15,6,10,24060,7570000,26784
16,6,10,24060,7550000,26784
17,6,10,24060,7420000,26784
18,6,10,24060,7560000,26640
19,6,10,24060,7540000,26784
20,6,10,24060,7540000,26640
21,6,10,24060,7500000,26784
22,6,10,24060,7490000,26784
23,6,10,24060,7220000,26640
24,6,10,24060,7120000,26640
25,6,10,24060,7090000,26496
26,6,10,24060,7100000,26640
27,6,10,24060,7360000,26640
28,6,10,24060,7590000,26640
29,6,10,24060,7470000,26640
30,6,10,24060,7570000,26784
31,6,10,24060,7520000,26928
32,6,10,24060,7520000,26928
33,6,10,24060,7560000,26640
34,6,10,24060,7480000,26928
35,6,10,24060,7530000,26640
36,6,10,24060,7560000,26784
37,6,10,24060,7530000,26784
38,6,10,24060,7500000,26784
39,6,10,24060,7460000,26784
40,6,10,24060,7540000,26496
41,6,10,24060,7550000,27072
42,6,10,24060,7410000,26640
43,6,10,24060,7470000,26784
44,6,10,24060,7540000,26784
45,6,10,24060,7020000,26784
46,6,10,24060,7470000,26640
47,6,10,24060,7510000,26496
48,6,10,24060,7500000,26784
49,6,10,24060,7440000,26784
50,6,10,24060,7500000,26784
51,6,10,24060,7390000,26784
52,6,10,24060,7500000,26640
53,6,10,24060,7230000,26784
54,6,10,24060,7560000,26784
55,6,10,24060,7500000,26640
56,6,10,24060,7330000,26928
57,6,10,24060,7180000,26784
58,6,10,24060,7410000,26640
59,6,10,24060,7530000,26640
60,6,10,24060,7460000,27360
61,6,10,24060,7430000,26640
62,6,10,24060,7580000,26640
63,6,10,24060,7400000,26928
64,6,10,24060,7560000,26928
65,6,10,24060,7480000,26784
66,6,10,24060,7570000,26640
67,6,10,24060,7490000,26496
68,6,10,24060,7680000,26640
69,6,10,24060,7530000,26784
70,6,10,24060,7550000,26928
71,6,10,24060,7580000,26784
72,6,10,24060,7550000,26784
73,6,10,24060,7560000,26928
74,6,10,24060,7570000,26784
75,6,10,24060,7500000,26928
76,6,10,24060,7450000,26640
77,6,10,24060,7660000,26640
78,6,10,24060,7600000,26784
79,6,10,24060,7620000,26784
80,6,10,24060,7610000,26640
81,6,10,24060,7590000,26640
82,6,10,24060,7490000,26784
83,6,10,24060,7500000,26928
84,6,10,24060,7530000,26784
85,6,10,24060,7610000,26784
86,6,10,24060,7420000,26784
87,6,10,24060,7280000,26784
88,6,10,24060,7640000,26640
89,6,10,24060,7360000,26784
90,6,10,24060,7500000,26784
91,6,10,24060,7350000,27072
92,6,10,24060,7540000,26640
93,6,10,24060,7530000,26928
94,6,10,24060,7310000,26640
95,6,10,24060,7450000,26640
96,6,10,24060,7200000,26928
97,6,10,24060,7250000,26784
98,6,10,24060,7360000,26784
99,6,10,24060,7460000,26928
100,6,10,24060,7330000,26784
